URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
107905,"383","Leeds","2429","Leopold Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2002","2","Primary",3,11,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Leopold Street","","","Leeds","West Yorkshire","LS7 4AW","","","Mr","J S","Barrett","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011390","Chapel Allerton","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",430935,435189,"Leeds 042","Leeds 042E","","","","","","999","","","","Lancashire and West Yorkshire","","72118550","","0","Not applicable","0","Not applicable","","","E02002371","E01011361","",""
107906,"383","Leeds","2430","Miles Hill Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2007","2","Primary",3,11,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",240,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Beck Hill Approach","","","Leeds","West Yorkshire","LS7 2RF","","","Mrs","C A","Croft","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011390","Chapel Allerton","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",429293,437049,"Leeds 038","Leeds 038A","","","","","","999","","","","Lancashire and West Yorkshire","","","","0","Not applicable","0","Not applicable","","","E02002367","E01011354","",""
107907,"383","Leeds","2431","Potternewton Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2007","2","Primary",3,11,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",224,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Potternewton Mount","","","Leeds","West Yorkshire","LS7 2DR","","","Mr","Stephen","Watkins","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011390","Chapel Allerton","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",429767,436461,"Leeds 038","Leeds 038B","","","","","","999","","","","Lancashire and West Yorkshire","","72160544","","0","Not applicable","0","Not applicable","","","E02002367","E01011355","",""
107908,"383","Leeds","2432","Talbot Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",498,"2","No Special Classes","20-01-2022","503","257","246","7.50","0","Not applicable","","","Not applicable","","Not under a federation","","",10072268,"","Not applicable","29-03-2023","0","Not applicable","16-06-2023","East Moor Road","Roundhay","","Leeds","West Yorkshire","LS8 1AF","www.talbot.leeds.sch.uk","01132934086","Mrs","Parm","Gill","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011411","Roundhay","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",431863,438541,"Leeds 024","Leeds 024C","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72060517","","0","Not applicable","0","Not applicable","","","E02002353","E01011652","35",""
107909,"383","Leeds","2433","Bracken Edge Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",562,"2","No Special Classes","20-01-2022","400","199","201","32.30","0","Not applicable","","","Not applicable","","Not under a federation","","",10072267,"","Not applicable","08-02-2018","0","Not applicable","02-05-2023","Bracken Edge Primary School","Newton Garth","Off Newton Road","Leeds","West Yorkshire","LS7 4HE","www.brackenedge.leeds.sch.uk/","01132623335","Miss","Caroline","Carr","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011390","Chapel Allerton","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",431252,436131,"Leeds 042","Leeds 042A","","","","","","999","","","Good","Lancashire and West Yorkshire","","72565710","","0","Not applicable","0","Not applicable","","","E02002371","E01011356","117",""
107910,"383","Leeds","2434","Kerr Mackie Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",476,"2","No Special Classes","20-01-2022","422","212","210","14.10","0","Not applicable","","","Not applicable","","Not under a federation","","",10072266,"","Not applicable","12-05-2022","0","Not applicable","20-06-2023","Gledhow Lane","","","Leeds","West Yorkshire","LS8 1NE","www.kmps.org.uk","01133368499","Mrs","K","Furlong","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011411","Roundhay","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",432133,437078,"Leeds 032","Leeds 032C","","","","","","999","","","Good","Lancashire and West Yorkshire","","72077863","","0","Not applicable","0","Not applicable","","","E02002361","E01011642","55",""
107911,"383","Leeds","2435","Hillcrest Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","06","For Academy","31-12-2013","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",428,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Cowper Street","","","Leeds","West Yorkshire","LS7 4DR","","","Mr","David","Shipley","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011390","Chapel Allerton","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",431271,435486,"Leeds 042","Leeds 042E","","","","","","999","","","","Lancashire and West Yorkshire","","72050773","","0","Not applicable","0","Not applicable","","","E02002371","E01011361","",""
107912,"383","Leeds","2436","Alwoodley Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",420,"2","No Special Classes","20-01-2022","478","244","234","16.6","0","Not applicable","","","Not applicable","","Not under a federation","","",10072265,"","Not applicable","26-06-2013","0","Not applicable","03-05-2023","Cranmer Rise","Alwoodley","","Leeds","West Yorkshire","LS17 5HX","http://www.alwoodleyprimary.net","01132686104","Mr","G","German","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05012842","Alwoodley","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",429313,439468,"Leeds 018","Leeds 018D","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72051600","","0","Not applicable","0","Not applicable","","","E02002347","E01011560","73",""
107913,"383","Leeds","2437","Manor Wood Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","10","Academy Converter","31-05-2023","2","Primary",3,11,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",507,"2","No Special Classes","20-01-2022","507","262","245","12.20","0","Not applicable","","","Not applicable","","Not under a federation","","",10077333,"","Not applicable","31-01-2019","0","Not applicable","15-06-2023","Carr Manor Road","Moortown","","Leeds","West Yorkshire","LS17 5DJ","www.manorwoodps.org.uk","01132689160","Mrs","Deborah","Kenny","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011405","Moortown","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",429591,437748,"Leeds 025","Leeds 025A","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72038546","","0","Not applicable","0","Not applicable","","","E02002354","E01011505","60",""
107914,"383","Leeds","2438","Highfield Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",4,11,"1","No boarders","No Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",420,"2","No Special Classes","20-01-2022","451","232","219","6.70","0","Not applicable","","","Not applicable","","Not under a federation","","",10069028,"","Not applicable","15-11-2011","0","Not applicable","12-06-2023","Sandringham Green","","","Leeds","West Yorkshire","LS17 8DJ","www.highfield-primary.co.uk/","01132930155","Mr","Jonathan","Feeley","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05012842","Alwoodley","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",431258,439581,"Leeds 015","Leeds 015A","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72178789","","0","Not applicable","0","Not applicable","","","E02002344","E01011556","30",""
107915,"383","Leeds","2439","Moor Allerton Hall Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",630,"9","","20-01-2022","574","314","260","21.70","0","Not applicable","","","Not applicable","","Not under a federation","","",10068764,"","Not applicable","25-09-2019","0","Not applicable","10-05-2023","Lidgett Lane","","","Leeds","West Yorkshire","LS17 6QP","www.moorallertonhall.leeds.sch.uk","01133368350","Ms","Lesley","McKay","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","HI - Hearing Impairment","","","","","","","","","","","","","Resourced provision",12,16,"","","D","Yorkshire and the Humber","E08000035","Leeds","E05011411","Roundhay","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",431468,438212,"Leeds 024","Leeds 024B","","","","","","999","","","Good","Lancashire and West Yorkshire","","72119330","","0","Not applicable","0","Not applicable","","","E02002353","E01011517","120",""
107916,"383","Leeds","2440","Moortown Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",5,11,"1","No boarders","No Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",210,"2","No Special Classes","20-01-2022","211","112","99","4.30","0","Not applicable","","","Not applicable","","Supported by a federation","16208","Sphere Federation",10078386,"","Not applicable","24-11-2011","0","Not applicable","12-06-2023","Shadwell Lane","","","Leeds","West Yorkshire","LS17 6DR","www.moortown.leeds.sch.uk/","01132685915","Mr","David","Roundtree","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011405","Moortown","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",430866,438851,"Leeds 023","Leeds 023C","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72182408","","0","Not applicable","0","Not applicable","","","E02002352","E01011512","9",""
107917,"383","Leeds","2441","Shadwell Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",5,11,"1","No boarders","No Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",212,"2","No Special Classes","20-01-2022","211","115","96","1.4","0","Not applicable","","","Not applicable","","Not under a federation","","",10078385,"","Not applicable","14-12-2022","0","Not applicable","27-04-2023","Main Street","Shadwell","","Leeds","West Yorkshire","LS17 8JF","www.shadwell.leeds.sch.uk/","01132732729","Mrs","S","Richards","Executive Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011396","Harewood","E14000689","Elmet and Rothwell","D1","(England/Wales) Rural town and fringe","E08000035",434714,439636,"Leeds 022","Leeds 022B","","","","","","999","","","Requires improvement","Lancashire and West Yorkshire","","72126494","","0","Not applicable","0","Not applicable","","","E02002351","E01011649","3",""
107918,"383","Leeds","2442","Fir Tree Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2007","2","Primary",4,11,"1","No boarders","No Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",156,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Lingfield Drive","","","Leeds","West Yorkshire","LS17 7HB","","","Mr","Dave","Eaton","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05012842","Alwoodley","E14000779","Leeds North East","A1","(England/Wales) Urban major conurbation","E08000035",430439,439346,"Leeds 018","Leeds 018B","","","","","","999","","","","Lancashire and West Yorkshire","","","","0","Not applicable","0","Not applicable","","","E02002347","E01011558","",""
107919,"383","Leeds","2443","Asket Hill Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","02","Closure","31-08-2005","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",155,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Kentmere Approach","","","Leeds","West Yorkshire","LS14 1JL","","","Ms","E D","Smith","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011400","Killingbeck & Seacroft","E14000778","Leeds East","A1","(England/Wales) Urban major conurbation","E08000035",434407,436474,"Leeds 040","Leeds 040C","","","","","","999","","","","Lancashire and West Yorkshire","","","","0","Not applicable","0","Not applicable","","","E02002369","E01011658","",""
107920,"383","Leeds","2444","Beechwood Primary School","05","Foundation school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",459,"2","No Special Classes","20-01-2022","461","234","227","44.40","1","Supported by a trust","1619","The Leeds East Primary Partnership","Not applicable","","Not under a federation","","",10073024,"","Not applicable","01-04-2015","0","Not applicable","20-06-2023","Kentmere Avenue","Seacroft","","Leeds","West Yorkshire","LS14 6QB","http://www.beechwoodprimaryschool.co.uk","01132930250","Mrs","S","Lanforth","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011400","Killingbeck & Seacroft","E14000778","Leeds East","A1","(England/Wales) Urban major conurbation","E08000035",435146,435942,"Leeds 050","Leeds 050B","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72181099","","0","Not applicable","0","Not applicable","","","E02002379","E01011664","192",""
107921,"383","Leeds","2445","Brownhill Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","06","For Academy","30-11-2012","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",416,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Torre Drive","","","Leeds","West Yorkshire","LS9 7DH","","","Mrs","Georgina","Winterburn","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011388","Burmantofts & Richmond Hill","E14000777","Leeds Central","A1","(England/Wales) Urban major conurbation","E08000035",432330,434110,"Leeds 065","Leeds 065C","","","","","","999","","","","Lancashire and West Yorkshire","","72216602","","0","Not applicable","0","Not applicable","","","E02002394","E01011348","",""
107922,"383","Leeds","2446","Ebor Gardens Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","06","For Academy","31-03-2016","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",420,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","30-09-2008","0","Not applicable","29-11-2019","Rigton Drive","","","Leeds","West Yorkshire","LS9 7PY","","","Mrs","Kathryn","Depledge","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011388","Burmantofts & Richmond Hill","E14000777","Leeds Central","A1","(England/Wales) Urban major conurbation","E08000035",431573,433853,"Leeds 064","Leeds 064A","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72169790","","0","Not applicable","0","Not applicable","","","E02002393","E01011338","",""
107923,"383","Leeds","2447","Grange Farm Primary School","05","Foundation school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",471,"2","No Special Classes","20-01-2022","475","244","231","51.90","1","Supported by a trust","1619","The Leeds East Primary Partnership","Not applicable","","Not under a federation","","",10073023,"","Not applicable","09-03-2022","0","Not applicable","16-05-2023","Barncroft Rise","","","Leeds","West Yorkshire","LS14 1AX","www.grangefarm.leeds.sch.uk","01132930120","Mr","Neil","Winn","Acting Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011400","Killingbeck & Seacroft","E14000778","Leeds East","A1","(England/Wales) Urban major conurbation","E08000035",434740,436964,"Leeds 035","Leeds 035B","","","","","","999","","","Good","Lancashire and West Yorkshire","","72013761","","0","Not applicable","0","Not applicable","","","E02002364","E01011657","219",""
107924,"383","Leeds","2448","Grimes Dyke Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",315,"2","No Special Classes","20-01-2022","242","126","116","51.70","0","Not applicable","","","Not applicable","","Not under a federation","","",10068763,"","Not applicable","30-01-2020","0","Not applicable","09-05-2023","Stanks Drive","","","Leeds","West Yorkshire","LS14 5BY","www.grimesdyke.leeds.sch.uk","01132941066","Miss","Louise","Hill","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","SLCN - Speech, language and Communication","","","","","","","","","","","","","Resourced provision",2,7,"","","D","Yorkshire and the Humber","E08000035","Leeds","E05011391","Cross Gates & Whinmoor","E14000778","Leeds East","A1","(England/Wales) Urban major conurbation","E08000035",436571,436696,"Leeds 041","Leeds 041A","","","","","","999","","","Good","Lancashire and West Yorkshire","","72197852","","0","Not applicable","0","Not applicable","","","E02002370","E01011721","120",""
107925,"383","Leeds","2449","Harehills Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",630,"2","No Special Classes","20-01-2022","698","367","331","37.50","0","Not applicable","","","Not applicable","","Not under a federation","","",10072264,"","Not applicable","14-11-2019","0","Not applicable","28-04-2023","Darfield Road","Harehills","","Leeds","West Yorkshire","LS8 5DQ","www.harehills.leeds.sch.uk/","01132350539","Mrs","Joanne","Summerfield","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011394","Gipton & Harehills","E14000778","Leeds East","A1","(England/Wales) Urban major conurbation","E08000035",432124,435187,"Leeds 053","Leeds 053A","","","","","","999","","","Good","Lancashire and West Yorkshire","","72055601","","0","Not applicable","0","Not applicable","","","E02002382","E01011430","235",""
107926,"383","Leeds","2450","Hovingham Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",2,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",764,"2","No Special Classes","20-01-2022","666","336","330","41.00","0","Not applicable","","","Not applicable","","Not under a federation","","",10072263,"","Not applicable","10-11-2021","0","Not applicable","12-06-2023","Hovingham Avenue","","","Leeds","West Yorkshire","LS8 3QY","www.hovingham.leeds.sch.uk","01132489537","Mrs","Kellie","Halliday","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011394","Gipton & Harehills","E14000778","Leeds East","A1","(England/Wales) Urban major conurbation","E08000035",432413,435645,"Leeds 047","Leeds 047C","","","","","","999","","","Requires improvement","Lancashire and West Yorkshire","","72755602","","0","Not applicable","0","Not applicable","","","E02002376","E01011427","258",""
107927,"383","Leeds","2451","Richmond Hill Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","06","For Academy","31-10-2017","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",630,"1","Has Special Classes","19-01-2017","625","300","325","41.2","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","11-01-2017","0","Not applicable","29-11-2019","Clark Lane","","","Leeds","West Yorkshire","LS9 8PN","","","Ms","Dawn","Mara","Acting Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","SLCN - Speech, language and Communication","ASD - Autistic Spectrum Disorder","SEMH - Social, Emotional and Mental Health","MLD - Moderate Learning Difficulty","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011388","Burmantofts & Richmond Hill","E14000777","Leeds Central","A1","(England/Wales) Urban major conurbation","E08000035",431827,432999,"Leeds 075","Leeds 075D","","","","","","999","","","Special Measures","Lancashire and West Yorkshire","","72044007","","0","Not applicable","0","Not applicable","","","E02002404","E01011626","238",""
