2496,Primary,Community,Lower Wortley Primary School,Lower Wortley Road,,Leeds,LS12 4PX,426476,431942,0113 386 2530,admin@lwps.org.uk,http://www.lowerwortley-pri.leeds.sch.uk/,W,3,11,1.146,5,0,0,0,9,14,12,45,35,
2365,Primary,Community,Lowtown Primary School,Kent Road,Pudsey,Leeds,LS28 9BB,422888,433466,0113 256 7303,admin@pudseylowtown.org.uk,http://www.pudseylowtown.leeds.sch.uk/,W,4,11,1.088,5,0,2,0,11,10,4,30,27,
2437,Primary,Academy,Manor Wood Primary,Carr Manor Road,,Leeds,LS17 5DJ,429618,437771,0113 268 9160,office@carrmanorprimary.org.uk,http://www.carrmanor-pri.leeds.sch.uk,NE,3,11,,,,,,,,,,,
2464,Primary,Community,Manston Primary School,Dennil Road,,Leeds,LS15 8SD,436599,435401,0113 264 5445,manston.primary@manston.leeds.sch.uk,http://www.manstonprimary.co.uk,E,4,11,0.298,5,0,0,0,12,17,1,30,30,
3910,Primary,Academy,Manston St James Primary Academy,Sandbed Lane,,Leeds,LS15 8JH,436615,435165,0113 273 9180,info@manston-st-james.leeds.sch.uk,http://www.manston-st-james.leeds.sch.uk,E,4,11,,,,,,,,,,,
3923,Primary,Academy,Meadowfield Primary School,Halton Moor Avenue,,Leeds,LS9 0JY,433677,433227,0113 3230010,linda.mackie@meadowfieldclc.org,http://www.meadowfieldclc.org,E,3,11,,,,,,,,,,,
3907,Primary,Voluntary Aided,Meanwood Church of England Primary School,Green Road,,Leeds,LS6 4LD,428207,437316,0113 275 5883,helen.sanderson@meanwood.leeds.sch.uk,http://www.meanwoodschool.co.uk,NW,4,11,,,,,,,,,,,
2023,Primary,Academy,Methley Primary School,Savile Road,Methley,Leeds,LS26 9HT,439966,427035,0113 386 2540,tracy.dell@methley-pri.leeds.sch.uk,http://www.methley-pri.leeds.sch.uk/,S,3,11,,,,,,,,,,,
3040,Primary,Academy,Micklefield C of E (C) Primary School,Great North Road,Micklefield,Leeds,LS25 4AQ,444371,433284,0113 336 8668,office@micklefieldceprimary.co.uk,http://www.micklefieldprimary.org.uk,E,3,11,,,,,,,,,,,
2477,Primary,Foundation,Middleton Primary School,Middleton Park Avenue,,Leeds,LS10 4HU,429892,427449,0113 271 7969,info@middletonprimary.net,http://www.middletonprimary.net,S,4,11,,,,,,,,,,,
3053,Primary,Voluntary Controlled,Middleton St Mary's Church of England Voluntary Controlled Primary School,Moor Flatts Road,,Leeds,LS10 3SW,430132,428331,0113 271 7206,enquiries@middletonstmarys.co.uk,http://www.middletonstmarys.co.uk,S,3,11,1.671,5,0,0,0,15,6,12,60,33,
2034,Primary,Academy,Mill Field Primary School,Potternewton Mount,,Leeds,LS7 2DR,429766,436461.3,0113 262 0021,office@mfprimary.com,http://www.mfprimary.com/,NE,3,11,,,,,,,,,,,
2439,Primary,Community,Moor Allerton Hall Primary School,Lidgett Lane,,Leeds,LS17 6QP,431470,438221,0113 336 8350,office@moorallertonhall.leeds.sch.uk,http://www.moorallertonhall.leeds.sch.uk,NE,3,11,316.247,5,0,0,0,37,8,15,90,62,
2440,Primary,Community,Moortown Primary School,Shadwell Lane,,Leeds,LS17 6DR,430872,438853,0113 268 5915,office@moortown.leeds.sch.uk,http://www.moortown.leeds.sch.uk,NE,4,11,0.264,5,0,0,0,14,13,3,30,30,
2321,Primary,Academy,Morley Newlands Academy,Wide Lane,Morley,Leeds,LS27 8PG,427624,428034,0113 323 1890,enquiries@morleynewlands.leeds.sch.uk,http://morleynewlands.leeds.sch.uk/,S,4,11,,,,,,,,,,,
2382,Primary,Community,Morley Victoria Primary School,Victoria Road,Morley,Leeds,LS27 9NW,426018,428288,0113 253 5253,office@morleyvictoria.org.uk,http://www.morleyvictoriaprimary.org.uk,S,3,11,1.242,5,0,1,0,22,16,21,60,60,
3927,Primary,Community,New Bewerley Community School,Bismarck Drive,,Leeds,LS11 6TB,430016,431677,0113 887 8718,secretary@newbewerley.org.uk,http://www.newbewerley.leeds.sch.uk,S,4,11,1.76,5,1,0,0,13,8,15,60,37,
2397,Primary,Foundation,Ninelands Primary School,Ninelands Lane,Garforth,Leeds,LS25 1NT,441099,432702,0113 287 8370,ffice@ninelands-school.co.uk,http://www.ninelands-school.co.uk,E,3,11,,,,,,,,,,,
2513,Primary,Voluntary Controlled,Otley All Saints Church of England Primary School,Lisker Drive,Otley,Leeds,LS21 1DF,420981,445208,0194 346 4703,office@otleyallsaints.co.uk,p://www.otleyallsaints.co.uk,NW,3,11,0.356,4,0,1,0,13,16,0,30,30,
2405,Primary,Community,Otley The Whartons Primary School,The Whartons,Otley,Leeds,LS21 2BS,420373,446901,0194 346 5018,info@whartonsprimary.co.uk,http://www.whartonsprimary.co.uk,NW,4,11,316.727,5,0,0,0,10,9,9,30,28,
2327,Primary,Community,Oulton Primary School,Green Lea,Oulton,Leeds,LS26 8NT,435835,428799,0113 214 6303,joanne.smithson@oulton.leeds.sch.uk,http://www.oulton.ik.org,S,3,11,5.269,5,0,0,0,18,9,16,45,43,
3376,Primary,Voluntary Aided,Our Lady of Good Counsel Catholic Primary School,Pigeon Cote Road,,Leeds,LS14 1EP,435102,436668,0113 2329031,administrator@ourladys.org,http://www.ourladyscatholicprim.org.uk,E,3,11,,,,,,,,,,,
2488,Primary,Community,Park Spring Primary School,Wellstone Avenue,,Leeds,LS13 4EH,423971,433677,0113 255 2526,office@parkspringprimary.co.uk,http://www.parkspringprimary.co.uk,W,3,11,7.679,5,0,0,0,23,8,13,60,44,
2005,Primary,Academy,Park View Primary Academy,Harlech Road,,Leeds,LS11 7DG,429513,430893,0113 212 7215,info@parkviewpa.org.uk,http://www.parkviewpa.org.uk,S,3,11,,,,,,,,,,,
2467,Primary,Community,Parklands Primary School,Dufton Approach ,,Leeds,LS14 6ED,435530,435383,0113 293 0282,d.mcelwee@parklandsleeds.org.uk,http://parklandsprimary.org.uk,E,4,11,0.435,5,0,2,0,26,9,8,45,45,
3051,Primary,Voluntary Controlled,Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,Arthington Lane,Pool In Wharfedale,Leeds,LS21 1LG,424845,445126,0113 284 3151,info@poolprimarysch.org.uk,http://www.pool-in-wharfedale-leeds.co.uk/,NW,4,11,10.031,5,0,0,0,4,13,2,330,19,
2011,Primary,Academy,Primley Wood Primary Academy ,192A Chapeltown Road,,Leeds,LS7 4HZ,430978,436111,0113 887 3680,info@khalsascienceacademy.org.uk,http://www.khalsascienceacademy.org.uk/,NE,4,11,,,,,,,,,,,
2389,Primary,Foundation,Primrose Lane Primary School,Westwood Way,Boston Spa,Wetherby,LS23 6DX,442657,445388,0193 784 2667,info@primroselane.leeds.sch.uk,http://www.primroselane.leeds.sch.uk,NE,3,11,,,,,,,,,,,
2331,Primary,Community,Pudsey Bolton Royd Primary School,Moorland Grove,Pudsey,Leeds,LS28 8EP,420151,433922,0113 386 2560,info@pudseyboltonroyd.org,http://www.pudseyboltonroyd.org,W,3,11,1.556,5,0,0,0,33,19,8,60,60,
2339,Primary,Academy,Pudsey Primrose Hill Primary School,Primrose Hill,Stanningley,Leeds,LS28 6AB,422024,434016,0113 257 4129,admin@pudseyprimrosehill.co.uk,http://www.primrosehill.leeds.sch.uk,W,3,11,,,,,,,,,,,
3920,Primary,Academy,Pudsey Waterloo Primary School,Victoria Road,Pudsey,Leeds,LS28 7SR,421368,433227,0113 336 8020,v.bray@pudseywaterloo.org.uk,http://www.pudseywaterloo.co.uk,W,3,11,,,,,,,,,,,
2413,Primary,Foundation,Quarry Mount Primary School ,Pennington Street,,Leeds,LS6 2JP,429432,435546,0113 245 5803,acarter@quarrymountprimary.org.uk,http://www.quarrymount.leeds.sch.uk/,NW,4,11,,,,,,,,,,,
2356,Primary,Foundation,Queensway Primary School,Coppice Wood Avenue,Yeadon,Leeds,LS19 7LF,420304,441881,0194 387 4925,office@queenswayschool.co.uk,http://www.angelapplicationsltd.com/queensway/,NW,3,11,,,,,,,,,,,
2271,Primary,Foundation,Rawdon Littlemoor Primary School,New Road Side,Rawdon,Leeds,LS19 6DD,420564,439949,0113 887 9690,office@rawdonlittlemoor.org,http://www.rawdonlittlemoor.org/,NW,4,11,,,,,,,,,,,
3031,Primary,Voluntary Controlled,Rawdon St Peter's Church of England Voluntary Controlled Primary School,Town Street,Rawdon,Leeds,LS19 6PP,421808,439438,0113 250 4201,headteacher@rawdonstpeters.co.uk,http://www.rawdonstpeters.org.uk,NW,4,11,10.979,5,0,1,0,14,6,18,45,39,
2489,Primary,Academy,Raynville Primary School,Cross Aston Grove,,Leeds,LS13 2TQ,425210,434714,0113 257 9590,m.townsend@raynvilleprimaryleeds.org,http://www.raynvilleprimaryleeds.org.uk/,W,3,11,,,,,,,,,,,
2021,Primary,Academy,Richmond Hill Academy,Clark Crescent,,Leeds,LS9 8QF,431832,433009,0113 336 8899,info@richmondhill.leeds.sch.uk,http://www.richmondhillprimary.ik.org,E,3,11,,,,,,,,,,,
2309,Primary,Community,Robin Hood Primary School,Leeds Road,Robin Hood,Wakefield,WF3 3BG,432551,426884,0113 282 3444,sue.smith@robinhood.leeds.sch.uk ,http://www.robinhood.leeds.sch.uk,S,3,11,3.97,5,0,2,0,21,15,12,60,50,
2415,Primary,Foundation,Rosebank Primary School,Burley Road,,Leeds,LS3 1JP,428617,434236,0113 243 3497,school@rosebank.leeds.sch.uk,ttp://www.rosebank.leeds.sch.uk,NW,3,11,,,,,,,,,,,
2506,Primary,Community,Rothwell Primary School,Carlton Lane,Rothwell,Leeds,LS26 0DJ,434074,427856,0113 386 2570,admin@rothwell-pri.leeds.sch.uk,http://www.rothwellprimary.co.uk/leeds/primary/rothwell,S,3,11,0.802,5,0,1,0,12,7,25,45,45,
3364,Primary,Voluntary Aided,Rothwell St Mary's Catholic Primary School,Royds Lane,Rothwell,Leeds,LS26 0BJ,434739,427870,0113 214 6313, head@rothwellstmarys.org.uk,http://www.rothwell-st-marys.leeds.sch.uk/homepage/index.php,S,4,11,,,,,,,,,,,
2342,Junior,Community,Rothwell Victoria Junior School,Cornwall Crescent,Off Wood Lane,Leeds,LS26 0RA,433801,428742,0113 393 2926,admin@victoria-jun.leeds.sch.uk,http://www.rothwellvictoriajunior.co.uk/,S,7,11,0.458,6,0,0,0,7,22,2,45,31,
8901,Through School,Community,Roundhay School (Primary Site),Primary Campus,Elmete Lane,Leeds,LS8 2LG,433850,437243,0113 393 1207,secondary@roundhayschool.com,www.roundhayschool.org.uk,NE,4,18,0.408,5,2,5,0,21,30,2,60,60,
3329,Primary,Voluntary Aided,Roundhay St John's Church of England Primary School,North Lane,,Leeds,LS8 2QJ,433286,436924,0113 265 8451,admin@roundhaystjohns.com,http://www.roundhay-st-johns.leeds.sch.uk,NE,3,11,,,,,,,,,,,
2002,Primary,Foundation,Rufford Park Primary School,Rufford Avenue,Yeadon,Leeds,LS19 7QR,420856,440827,0113 391 0906,admin@ruffordparkprimary.org.uk,http://www.ruffordparkprimary.org.uk/,NW,4,11,,,,,,,,,,,
2016,Primary,Academy,Ryecroft Academy,Stonebridge Grove,,Leeds,LS12 5AW,425279,432785,0113 263 2433,info@ryecroft.leeds.sch.uk,http://www.ryecroftprimaryschool.co.uk,W,3,11,,,,,,,,,,,
3377,Primary,Voluntary Aided,Sacred Heart Catholic Primary School,Eden Way,,Leeds,LS4 2TF,426735,435150,0113 336 8003,office@sacredheartleeds.org.uk,http://www.sacredheart.leeds.sch.uk,NW,3,11,,,,,,,,,,,
2275,Primary,Community,Scholes (Elmet) Primary School,Station Road,Scholes,Leeds,LS15 4BJ,437584,436787,0113 264 9149,sue.craggs@fsw.leeds.sch.uk,http://www.scholeselmet.leeds.sch.uk,E,3,11,2.723,5,0,1,0,15,7,18,45,42,
2452,Primary,Foundation,Seacroft Grange Primary School,Moresdale Lane,,Leeds,LS14 6JR,434813,435120,0113 260 5385,head@seacroftgps.org.uk,http://www.seacroftgrange.leeds.sch.uk,E,4,11,,,,,,,,,,,
2293,Primary,Community,Seven Hills Primary School,Appleby Way ,Morley,Leeds,LS27 8LA,426722,427908,0113 252 7194,helen.robertshaw@seven-hillsschool.org.uk,http://www.sevenhillsmorley.org.uk,S,3,11,1.582,5,0,0,0,21,8,12,60,41,
2441,Primary,Community,Shadwell Primary School,Main Street,,Leeds,LS17 8JF,434651,439633,0113 273 2729,k.mosley@shadwellprimary.org,http://www.shadwell.leeds.sch.uk/,NE,4,11,1.245,4,0,1,0,15,14,0,30,30,
2462,Primary,Community,Shakespeare Primary School,Shakespeare Avenue,,Leeds,LS9 7HP,431666,434189,0113 336 8340,office@shakespeareleeds.org.uk,http://www.shakespeareleeds.org.uk,E,3,11,2.821,5,0,0,0,42,29,16,90,89,
2510,Primary,Community,Sharp Lane Primary School,Sharp Lane,,Leeds,LS10 4QE,431300,428200,0113 3783060,contact@sharplane.leeds.sch.uk,http://www.sharplane.leeds.sch.uk,S,3,11,2.755,5,0,1,0,22,14,15,90,52,
3929,Primary,Voluntary Controlled,Shire Oak Church Of England Voluntary Controlled Primary School,Wood Lane,,Leeds,LS6 2DT,428139,436296,0113 275 5890,jackiev@shireoak.leeds.sch.uk,http://www.shireoakcofeprimaryschool.co.uk/,NW,4,11,0.874,5,0,0,0,11,7,12,30,30,
2335,Primary,Foundation,Southroyd Primary and Nursery School,Littlemore Crescent,Pudsey,Leeds,LS28 8AT,422273,432497,0113 3783020,kathryn.austwick@pudseysouthroyd.leeds.sch.uk,https://www.pudseysouthroyd.leeds.sch.uk/,W,3,11,,,,,,,,,,,
2414,Primary,Community,Spring Bank Primary School,Spring Road,,Leeds,LS6 1AD,428049,435734,0113 204 3120,hello@springbankprimary.org,http://www.springbankprimary.org/,NW,4,11,4.063,5,0,0,0,5,2,4,30,12,
3363,Primary,Academy,SS Peter and Paul Catholic Primary School - A Voluntary Academy,Crofters Lea,New Road,Leeds,LS19 7HW,419782,440930,0113 323 0419,ssppyeadon@yahoo.co.uk,http://www.sspeterandpaulyeadon.co.uk,NW,4,11,,,,,,,,,,,
3367,Primary,Voluntary Aided,"St Anthony's Catholic Primary School, Beeston",Barkly Road,,Leeds,LS11 7JS,428925,430670,0113 277 6944,l.leonard@stanthonysleeds.org.uk,http://www.stanthonysbeeston.ik.org,S,4,11,,,,,,,,,,,
3368,Primary,Voluntary Aided,St Augustine's Catholic Primary School,St Wilfrid's Circus,,Leeds,LS8 3PF,432610,435438,0113 293 0350,sheila.hebbron@staugustinesleeds.org.uk,http://www.staugustinesleeds.org.uk,E,3,11,,,,,,,,,,,
3056,Primary,Voluntary Controlled,St Bartholomew's Church of England Voluntary Controlled Primary School,Strawberry Lane,,Leeds,LS12 1SF,427449,433123,0113 263 9292,p.gavin@stbartsleeds.org.uk,http://www.st-bartholomews.leeds.sch.uk,W,3,11,0.484,5,0,1,0,28,21,10,60,60,
3365,Primary,Academy,St Benedict's Catholic Primary School - A Voluntary Academy,Station Fields,Garforth,Leeds,LS25 1PS,440719,433395,0113 286 9819,admin@sbcps.bkcat.co.uk,http://www.st-benedicts.leeds.sch.uk,E,3,11,,,,,,,,,,,
3315,Primary,Academy,St Chad's Church of England Primary School,Northholme Avenue,,Leeds,LS16 5QR,426572,437467,0113 274 7110,katy.dixon@stchadsprimary.net,ttp://www.st-chads.leeds.sch.uk,NW,3,11,,,,,,,,,,,
3358,Primary,Voluntary Aided,"St Edward's Catholic Primary School, Boston Spa",Westwood Way ,Boston Spa,Leeds,LS23 6DL,442626,445547,0193 784 3946,headteacher@st-edwards.leeds.sch.uk,http://www.st-edwards.leeds.sch.uk/,S,4,11,,,,,,,,,,,
3362,Primary,Voluntary Aided,"St Francis Catholic Primary School, Morley",Highcliffe Road,Morley,Leeds,LS27 9LX,425838,427894,0113 323 0554,j.whitfield@stfrancismorley.org.uk,http://www.stfrancismorley.org.uk/,S,4,11,,,,,,,,,,,
3371,Primary,Voluntary Aided,"St Francis of Assisi Catholic Primary School, Beeston",Lady Pit Lane,,Leeds,LS11 6RX,429902,431473,0113 270 0978,catherine.cartwright@beeston-st-francisassisi.leeds.sch.uk,www.beeston-st-francisassisi.leeds.sch.uk,S,3,11,,,,,,,,,,,
3374,Primary,Voluntary Aided,"St Josephs Catholic Primary School, Hunslet",Joseph Street,,Leeds,LS10 2AD,431083,431825,0113 271 2093,c.richardson@stjosephscatholicprimary.org,http://www.hunslet-st-josephs.leeds.sch.uk,S,4,11,,,,,,,,,,,
3360,Primary,Academy,"St Josephs Catholic Primary School, Otley - A Voluntary Academy",Manor Square,Otley,Leeds,LS21 3AP,420059,445658,0194 346 3840,c.knight@stjosephsotley.org,ttp://www.stjosephsotley.org.uk,NW,4,11,,,,,,,,,,,
3361,Primary,Academy,"St Josephs Catholic Primary School, Pudsey - A Voluntary Academy",Mount Pleasant Road,Pudsey,Leeds,LS28 7AZ,422613,433778,0113 256 5407,a.ashworth@stjosephspudsey.org,http://www.stjosephspudsey.org,W,4,11,,,,,,,,,,,
3366,Primary,Voluntary Aided,"St Josephs Catholic Primary School, Wetherby",Barleyfields Road,Wetherby,Leeds,LS22 6PR,440104,448729,0193 758 2163,office@stjosephswetherby.com,http://www.stjosephswetherby.com,NE,4,11,,,,,,,,,,,
3038,Primary,Voluntary Controlled,St Margaret's Church of England Voluntary Controlled Primary School,Town Street,Horsforth,Leeds,LS18 5BL,423837,438210,0113 386 2520,stringm01@leedslearning.net,http://www.stmargarets.leeds.sch.uk/,NW,3,11,4.61,5,1,1,0,26,8,24,60,60,
3359,Primary,Academy,"St Mary's Catholic Primary School, Horsforth - A Voluntary Academy",Broadgate Lane,Horsforth,Leeds,LS18 5AB,424325,438276,0113 258 4593,office@stmaryshorsforth.org,http://www.stmaryshorsforth.org/,NW,4,11,,,,,,,,,,,
3047,Primary,Voluntary Controlled,"St Mary's Church of England Controlled Primary School, Boston Spa",Clifford Road,Boston Spa,Leeds,LS23 6DB,443034,445276,0193 784 4395,admin@stmaryscofe.org.uk,http://www.stmaryscofe.org.uk,NE,4,11,324.026,5,0,0,0,7,9,3,20,19,
2033,Primary,Voluntary Aided,"St Marys Church Of England Primary Academy, Hunslet",Church Street,Hunslet,Leeds,LS10 2QY,431179,431347,0113 271 7204,karen.shields@hunsletstmarys.co.uk,http://www.hunsletstmarys.co.uk,S,4,11,,,,,,,,,,,
3908,Primary,Voluntary Aided,St Matthew's Church of England Primary School,Wood Lane,,Leeds,LS7 3QF,430214,437336,0113 268 1489,headteacher@St-Matthews.leeds.sch.uk,http://www.st-matthews.leeds.sch.uk,NE,4,11,,,,,,,,,,,
3375,Primary,Voluntary Aided,St Nicholas' Catholic Primary School,Oakwood Lane,,Leeds,LS9 6QY,433726,435213,0113 293 0318,wrightm@stnicholasprimaryleeds.org.uk,http://www.stnicholasprimaryleeds.org.uk,E,4,11,,,,,,,,,,,
3350,Primary,Voluntary Aided,St Oswald's Church of England Primary School,The Green ,Guiseley,Leeds,LS20 9BT,419418,441882,0194 387 3570,office@stoswaldsleeds.org,http://www.stoswaldsleeds.org,NW,7,11,,,,,,,,,,,
3382,Primary,Voluntary Aided,St Patrick's Catholic Primary School,Torre Road,,Leeds,LS9 7QL,432224,433886,0113 248 0380,s.kneeshaw@stpatrickleeds.org.uk,http://www.stpatricksleeds.org.uk,E,4,11,,,,,,,,,,,
3378,Primary,Voluntary Aided,St Paul's Catholic Primary School,Buckstone Crescent,,Leeds,LS17 5ES,429219,439603,0113 293 9901,school.office@stpaulscps.org.uk,http://www.stpaulscps.com,NE,4,11,,,,,,,,,,,
3911,Primary,Voluntary Aided,St Peter's Church of England Primary School,Cormwell Street,,Leeds,LS9 7SG,431045,433904,0113 293 4411,liz.holliday@stpeterscofe.org.uk,http://www.stpeterscofe.org.uk,E,3,11,,,,,,,,,,,
3379,Primary,Voluntary Aided,St Philip's Catholic Primary and Nursery School,St Philip's Avenue,,Leeds,LS10 3SL,429965,428251,0113 271 6763,headteacher@st-philips.org,http://www.st-philips.org,S,3,11,,,,,,,,,,,
3385,Primary,Voluntary Aided,St Theresa's Catholic Primary School,Barwick Road,,Leeds,LS15 8RQ,436207,435508,0113 293 0240,headteacher@st-theresas.leeds.sch.uk,http://www.st-theresas.leeds.sch.uk/,E,3,11,,,,,,,,,,,
3373,Primary,Voluntary Aided,St Urban's Catholic Primary School,Tongue Lane,,Leeds,LS6 4QD,429085,438227,0113 293 4477,info@sturbans.co.uk,http://www.sturbans.co.uk,NW,4,11,,,,,,,,,,,
2490,Primary,Community,Stanningley Primary School,Leeds and Bradford Road,Stanningley,Leeds,LS28 6PE,422989,434899,0113 255 7677,jackie.reid@stanningleyprimary.com,http://www.stanningleyprimary.com/,W,3,11,1.156,5,0,0,0,11,6,13,30,30,
3917,Primary,Foundation,Strawberry Fields Primary School,Lidgett Lane,Garforth,Leeds,LS25 1LL,440124,432813,0113 386 2490,info@sfpsch.org.uk,http://www.strawberryfields.leeds.sch.uk,E,3,11,,,,,,,,,,,
2491,Primary,Community,Summerfield Primary School,Intake Lane,,Leeds,LS13 1DQ,422904,435301,0113 205 7520,vickerj03@schoolslink.net,http://www.summerfieldprimary.co.uk,W,3,11,1.61,5,0,0,0,13,0,6,30,19,
2468,Primary,Community,Swarcliffe Primary School,Swarcliffe Drive,,Leeds,LS14 5JW,436253,436187,0113 293 0275,headteacher@swarcliffeprimary.co.uk,http://www.swarcliffeprimary.co.uk,E,3,11,6.548,5,0,0,0,16,12,6,45,38,
2328,Primary,Foundation,Swillington Primary Academy,Church Lane,Swillington,Leeds,LS26 8DX,438416,430514,0113 286 3220,SPSHeadTeacher@brigshawtrust.com,http://www.swillington.leeds.sch.uk/,E,3,11,,,,,,,,,,,
2503,Primary,Community,Swinnow Primary School,Swinnow Road,,Leeds,LS13 4PG,423143,433842,0113 214 6080,info@swinnowprimary.com,http://swinnow.leedsschools.org,W,3,11,0.818,5,0,0,0,15,10,5,30,30,
2432,Primary,Community,Talbot Primary School,East Moor Road,,Leeds,LS8 1AF,431892,438478,0113 293 4086,admin@talbotprimary.net,http://www.talbot.leeds.sch.uk,NE,3,11,0.544,4,0,3,0,22,35,0,60,60,
4068,Primary,Academy,Temple Learning Academy Free School,"Pure Offices, 4100 Park Approach",Thorpe Arch,Leeds,LS15 8GB,434185,433368,0113 2645456,info@templelearningacademy.org,http://www.templelearningacademy.org/,E,4,16,,,,,,,,,,,
2465,Primary,Academy,Templenewsam Halton Primary School,Pinfold Lane,,Leeds,LS15 7SY,435373,433682,0113 293 0314,info@templenewsamhalton.leeds.sch.uk,http://www.templenewsamhalton.leeds.sch.uk/,E,3,11,,,,,,,,,,,
3044,Primary,Academy,Thorner Church of England Voluntary Controlled Primary School,Kirkhills,Thorner ,Leeds,LS14 3JD,438241,440549,0113 289 2541,office@thornerschool.org.uk,http://www.thorner.leeds.sch.uk,NE,4,11,,,,,,,,,,,
2312,Primary,Community,Thorpe Primary School,Dolphin Lane,Thorpe,Wakefield,WF3 3DG,431438,426527,0113 336 8760,jeannette.mccormack@thorpe.leeds.sch.uk,http://www.thorpe.leeds.sch.uk,S,3,11,1.354,5,0,0,0,8,15,6,30,29,
2348,Primary,Foundation,Tranmere Park Primary School,"Ridge Close, Tranmere Park",Guiseley,Leeds,LS20 6JJ,418069,441733,0194 387 5050,secretary@tranmerepark.leeds.sch.uk,http://www.tranmerepark.leeds.sch.uk,NW,4,11,,,,,,,,,,,
3928,Primary,Community,Valley View Primary School,Coal Hill Drive,Rodley,Leeds,LS13 1DD,422593,435580,0113 255 4972,office@valleyviewschool.org.uk,http://www.valleyview-pri.leeds.sch.uk,W,4,11,2.379,5,1,1,0,18,17,20,60,57,
2454,Primary,Academy,Victoria Primary Academy,Ivy Avenue,,Leeds,LS9 9ER,432906,433851,0113 248 2449,victoria-primary.eschools.co.uk,http://www.victoria-pri.leeds.sch.uk,E,3,11,,,,,,,,,,,
2421,Primary,Community,Weetwood Primary School,Weetwood Lane,,Leeds,LS16 5NW,427550,437083,0113 336 8040,kmason@weetwoodprimary.co.uk,http://www.weetwoodschool.co.uk,NW,3,11,0.544,5,1,1,0,7,19,2,30,30,
2334,Primary,Community,West End Primary School,West End Lane,Horsforth,Leeds,LS18 5JP,422906,438391,0113 258 2819,westendschool@leedslearning.net,http://www.westendprimary.org.uk,NW,3,11,0.373,4,0,0,0,20,10,0,30,30,
2364,Primary,Community,Westbrook Lane Primary School,Westbrook Lane,Horsforth,Leeds,LS18 5AH,423681,439042,0113 258 7913,info@westbrooklane.leeds.sch.uk,http://www.westbrooklaneprimaryschool.co.uk/,NW,4,11,0.508,5,0,0,0,13,14,3,30,30,
2297,Primary,Academy,Westerton Primary Academy,Hesketh Lane,Tingley,Wakefield,WF3 1AR,427853,425395,0113 253 3504,office@westerton.org.uk,http://www.westerton.leeds.sch.uk,S,3,11,,,,,,,,,,,
2403,Primary,Community,Westgate Primary School,Scarborough Road,Otley,Leeds,LS21 3JS,419646,445273,0194 346 2349,info@westgateprimary.co.uk,http://www.westgateprimary.co.uk,NW,3,11,1.04,5,0,0,1,14,9,6,30,30,
2478,Primary,Foundation,Westwood Primary School,Bodmin Garth,,Leeds,LS10 4NU,429365,427958,0113 271 2420,Westwood@westwoodandclapgate.org,http://www.westwood.leeds.sch.uk,S,3,11,,,,,,,,,,,
3045,Primary,Voluntary Controlled,Wetherby St James' Church of England Voluntary Controlled Primary School,Hallfield Lane,Wetherby,Leeds,LS22 6JS,440881,448500,0193 758 3379,stjames@aol.com,http://wetherbystjames.schooljotter2.com/,NE,3,11,0.559,4,0,1,0,6,7,0,20,14,
2493,Primary,Community,Whingate Primary School,Whingate Road,,Leeds,LS12 3DS,426193,433126,0113 263 8910,secretary@whingate.com,http://www.whingate.leeds.sch.uk,W,3,11,0.903,5,0,0,0,31,14,15,60,60,
3912,Primary,Voluntary Aided,Whinmoor St Paul's Church of England Primary School,Whinmoor Crescent,,Leeds,LS14 1EG,435417,437957,0113 265 7250,secretary@whinmoorstpauls.co.uk,http://www.whinmoorstpauls.co.uk,E,3,11,,,,,,,,,,,
2456,Primary,Foundation,White Laith Primary School,Naburn Drive,,Leeds,LS14 2BL,436059,437348,0113 293 0280,secretary@whitelaith.leeds.sch.uk,http://www.whitelaith.leeds.sch.uk,E,3,11,,,,,,,,,,,
2494,Primary,Community,Whitecote Primary School,Wellington Grove,,Leeds,LS13 2LQ,424627,435759,0113 216 4800,office@whitecote.co.uk,http://www.whitecote.leeds.sch.uk,W,3,11,10.362,5,1,0,0,15,13,8,60,37,
2466,Primary,Academy,Whitkirk Primary School,Templegate Walk,,Leeds,LS15 0EU,435969,433154,0113 260 6203,headteacher@whitkirk.leeds.sch.uk,http://www.whitkirk.org/,E,4,11,,,,,,,,,,,
2390,Primary,Community,Wigton Moor Primary School,Barfield Crescent,,Leeds,LS17 8RU,431854,440111,0113 268 2341,office@wigtonmoor.leeds.sch.uk,http://www.wigtonmoor.leeds.sch.uk,NE,4,11,1.567,5,0,0,0,17,25,18,60,60,
2471,Primary,Community,Windmill Primary School,Windmill Road,,Leeds,LS10 3HQ,431035,429587,0113 271 2115,lisalockey@musicfederation.co.uk,http://www.musicfederation.co.uk,S,4,11,0.762,5,0,0,0,37,14,9,60,60,
2314,Primary,Community,Woodlesford Primary School,Church Street,Woodlesford,Leeds,LS26 8RD,436497,429133,0113 393 4416,info@woodlesford.leeds.sch.uk,http://www.woodlesford.leeds.sch.uk,S,3,11,4.213,5,0,0,0,21,5,23,60,49,
2457,Primary,Community,Wykebeck Primary School,Brander Street,,Leeds,LS9 6QH,433640,434593,0113 249 1525,amy.lavin@wykebeckprimary.co.uk,http://www.wykebeck.leeds.sch.uk/,E,3,11,315.219,5,0,1,0,10,6,2,60,20,
