URN,Name,Latitude,Longitude,type,phase_type_grouping,total_FT,total_PT,total_pupils,artsmark_progress,most_recent_award,artsaward,StatutoryLowAge,StatutoryHighAge
108050,St. Peter's Church of England Primary School,53.80054,-1.53014,Voluntary,State-funded primary,217,43,260,?,,NO,3,11
108033,St. Philip's Catholic Primary and Nursery School,53.74983,-1.54723,Voluntary,State-funded primary,240,6,246,?,,NO,3,11
108039,St. Theresa's Catholic Primary School,53.81462,-1.45157,Voluntary,State-funded primary,465,18,483,?,,NO,3,11
147483,St. Urban's Catholic Primary School,53.83757,-1.56170,Voluntary,State-funded primary,208,0,208,?,,NO,5,11
107966,Stanningley Primary School,53.80993,-1.65242,Community,State-funded primary,211,21,232,?,,NO,3,11
134405,Strawberry Fields Primary School,53.78904,-1.39272,Foundation,State-funded primary,316,24,340,?,,NO,3,11
107967,Summerfield Primary School,53.81352,-1.65359,Community,State-funded primary,210,7,217,?,,NO,3,11
107944,Swarcliffe Primary School,53.82057,-1.45085,Community,State-funded primary,314,13,327,?,,NO,3,11
143239,Swillington Primary School,53.76963,-1.41836,Academy & Free Schools,State-funded primary,188,18,206,?,,NO,3,11
107979,Swinnow Primary School,53.80057,-1.65028,Community,State-funded primary,251,0,251,?,,NO,2,11
107908,Talbot Primary School,53.84216,-1.51724,Community,State-funded primary,471,28,499,?,,NO,3,11
141883,Temple Learning Academy,53.79540,-1.48148,Academy & Free Schools,State-funded secondary,969,0,969,?,,NO,4,16
146247,Temple Moor High School,53.79656,-1.46133,Academy & Free Schools,State-funded secondary,1309,0,1309,?,,NO,11,18
146218,Templenewsam Halton Primary School,53.79820,-1.46453,Academy & Free Schools,State-funded primary,436,16,452,?,,NO,3,11
141140,The Elland Academy,53.77939,-1.58230,Academy & Free Schools,State-funded AP school,2,0,2,Working towards,,NO,3,19
137577,The Farnley Academy,53.78346,-1.61999,Academy & Free Schools,State-funded secondary,1490,0,1490,?,,NO,11,18
108108,The Froebelian School,53.83104,-1.63810,Independent,Independent school,153,0,153,?,,NO,3,11
108113,The Grammar School At Leeds,53.86419,-1.51941,Independent,Independent school,2065,30,2095,?,,NO,3,19
136392,The Morley Academy,53.74220,-1.60687,Academy & Free Schools,State-funded secondary,1429,0,1429,?,,NO,11,18
146339,The Pivot Academy LS East,53.80523,-1.48272,Independent,Independent school,54,1,55,?,,NO,7,16
140565,The Ruth Gorse Academy,53.79099,-1.53534,Academy & Free Schools,State-funded secondary,1301,0,1301,?,,NO,11,16
143761,The Stephen Longfellow Academy,53.76647,-1.57342,Academy & Free Schools,State-funded AP school,0,0,0,?,,NO,5,16
146003,Thorner Church of England Primary School,53.85978,-1.42008,Academy & Free Schools,State-funded primary,202,0,202,?,,NO,4,11
107832,Thorpe Primary School,53.73423,-1.52489,Community,State-funded primary,229,12,241,Registered,,YES,3,11
107855,Tranmere Park Primary School,53.87141,-1.72606,Foundation,State-funded primary,317,0,317,Registered,Silver,NO,5,11
148560,Trinity Academy Leeds,53.80002,-1.51449,Academy & Free Schools,State-funded secondary,477,0,477,Registered,,NO,11,16
142604,University Technical College Leeds,53.78825,-1.53440,Academy & Free Schools,State-funded secondary,425,0,425,?,,NO,14,19
131111,Valley View Primary School,53.81603,-1.65832,Community,State-funded primary,458,0,458,?,,NO,3,11
142450,Victoria Primary Academy,53.80007,-1.50195,Academy & Free Schools,State-funded primary,381,30,411,Registered,,NO,3,11
107897,Weetwood Primary School,53.82990,-1.58242,Community,State-funded primary,239,19,258,Awarded,Gold,NO,3,11
107846,West End Primary School,53.84139,-1.65316,Community,State-funded primary,261,1,262,?,,NO,3,11
108133,West Oaks School,53.81314,-1.54648,Special School,State-funded special school,410,0,410,?,,NO,2,19
134884,West Specialist Inclusive Learning Centre,53.80896,-1.65874,Special School,State-funded special school,245,0,245,?,,NO,2,19
107861,Westbrook Lane Primary School,53.84750,-1.64122,Community,State-funded primary,209,0,209,?,,NO,4,11
142452,Westerton Primary Academy,53.72417,-1.57900,Academy & Free Schools,State-funded primary,658,45,703,?,,NO,3,11
107879,Westgate Primary School,53.90298,-1.70330,Community,State-funded primary,231,12,243,Awarded,Silver,NO,3,11
107827,Westroyd Primary School and Nursery,53.80921,-1.67194,Community,State-funded primary,228,0,228,?,,NO,3,11
107954,Westwood Primary School,53.74707,-1.55615,Foundation,State-funded primary,288,28,316,Registered,,NO,3,11
108088,Wetherby High School,53.92963,-1.38072,Foundation,State-funded secondary,704,0,704,?,,NO,11,16
107995,Wetherby St James' Church of England Voluntary Controlled Primary School,53.93102,-1.37890,Voluntary,State-funded primary,121,11,132,?,,NO,3,11
107969,Whingate Primary School,53.79391,-1.60370,Community,State-funded primary,405,53,458,?,,NO,3,11
108051,Whinmoor St Paul's Church of England Primary School,53.83668,-1.46328,Voluntary,State-funded primary,236,0,236,?,,NO,3,11
107932,White Laith Primary School,53.83119,-1.45361,Foundation,State-funded primary,223,11,234,Working towards,,NO,3,11
107970,Whitecote Primary School,53.81754,-1.62751,Community,State-funded primary,391,76,467,Working towards,,NO,2,11
146219,Whitkirk Primary School,53.79341,-1.45550,Academy & Free Schools,State-funded primary,384,0,384,Working towards,,NO,4,11
107870,Wigton Moor Primary School,53.85615,-1.51679,Community,State-funded primary,419,0,419,?,,YES,4,11
107947,Windmill Primary School,53.76186,-1.53055,Community,State-funded primary,418,0,418,Working towards,,NO,5,11
108114,Woodhouse Grove School,53.84017,-1.70036,Independent,Independent school,1021,51,1072,?,,YES,3,18
137383,Woodkirk Academy,53.72989,-1.58554,Academy & Free Schools,State-funded secondary,1847,0,1847,?,,NO,11,18
107834,Woodlesford Primary School,53.75738,-1.44812,Community,State-funded primary,427,8,435,?,,NO,3,11
107933,Wykebeck Primary School,53.80664,-1.49059,Community,State-funded primary,349,29,378,?,,NO,2,11
107859,Yeadon Westfield Infant School,53.86361,-1.70151,Foundation,State-funded primary,178,7,185,?,,NO,3,7
107840,Yeadon Westfield Junior School,53.86455,-1.69872,Foundation,State-funded primary,205,0,205,?,,NO,7,11
